How many hours per week do you study for this course outside of class?,What percentage grade (0-100) do you realistically expect to get?,"On a scale of 1 to 10, how strict/demanding is the professor?","On a scale of 1 to 10, how much do you actually enjoy their lectures?"
4.7,75.8,2.3,8.0
5.1,87.3,2.7,9.7
6.2,94.9,4.6,8.8
6.1,89.3,4.4,7.3
1.2,69.3,3.5,7.5
2.1,75.8,3.7,6.0
5.0,88.9,5.4,7.5
5.0,79.0,2.6,7.1
5.0,84.8,4.3,8.0
11.7,96.4,3.2,6.3
5.1,78.1,3.2,8.3
6.3,84.1,5.1,9.8
5.9,67.7,4.7,7.3
5.3,77.8,4.7,8.1
3.4,78.8,5.5,8.5
5.5,77.0,3.5,6.9
2.5,86.8,4.5,7.8
3.5,73.1,3.0,7.5
3.0,77.3,4.0,7.6
4.2,81.9,3.3,6.3
8.6,95.2,3.6,7.5
0.3,68.2,4.4,8.2
5.4,88.9,2.3,9.7
0.8,76.2,6.6,8.9
3.1,74.7,2.0,10.0
6.2,86.6,1.7,6.3
4.1,82.2,5.2,8.8
1.8,74.8,4.7,7.8
2.6,79.2,4.4,10.0
5.4,81.1,4.4,6.3
2.5,79.4,3.5,6.2
4.4,85.0,2.2,6.6
4.1,89.1,3.6,4.3
2.7,72.9,2.5,6.7
8.3,98.1,5.0,6.4
5.3,73.1,3.3,7.7
0.0,74.2,2.3,8.0
4.4,84.5,3.0,10.0
2.7,80.4,4.1,8.9
5.7,80.4,2.7,6.6
2.4,77.6,2.3,6.2
3.8,78.2,3.9,8.2
5.0,79.6,3.9,5.5
5.7,87.8,2.7,10.0
1.6,79.2,2.8,9.3
3.3,76.5,3.8,6.8
3.1,84.1,1.3,4.9
2.7,80.6,1.4,9.5
7.5,90.4,2.4,7.3
4.8,85.4,3.2,9.4
